Cuenta,Código QR,OLT,FSP,Latitud,Longitud,Ubicacion,Puerto N2,Estatus  
1.3426638,TP792895,COACALCO_DF,0/2/7,19.626621,-99.076367,Poste,4,CANCELADA
1.3447745,TP1390975,COACALCO_DF,0/2/6,19.62194,-99.071301,Poste,2,CANCELADA
1.3504705,TP579424,SAN_CRISTOBAL_DF,0/8/7,19.626543,-99.076394,Poste,5,CANCELADA
1.3579724,TP652015,SAN_CRISTOBAL_DF,0/5/10,19.626234,-99.076502,Poste,8,CANCELADA
1.3609758,TP578336,SAN_CRISTOBAL_DF,0/12/8,19.629382,-99.079451,Poste,10,CANCELADA
1.362204,TP579896,COACALCO_DF,0/2/0,19.624563,-99.075734,Poste,1,CANCELADA
1.3712216,TP1390975,COACALCO_DF,0/2/6,19.62194,-99.071301,Poste,3,CANCELADA
1.4174958,TP647602,ESPUELAS_DF,0/8/8,19.648383,-99.040566,Poste,1,CANCELADA
1.4254805,TP652698,SAN_CRISTOBAL_DF,0/2/15,19.626688,-99.076297,Poste,1,CANCELADA
1.4408113,TP792453,SAN_CRISTOBAL_DF,0/16/0,19.628188,-99.079205,Poste,4,CANCELADA
1.4432967,TP644504,SAN_CRISTOBAL_DF,0/11/14,19.626548,-99.080074,Poste,5,CANCELADA
1.4896138,TP618461,HEROES_TECAMAC_DF,0/3/6,19.614021,-99.03549,Poste,3,CANCELADA
1.5016738,TP582036,AZCATEPEC_DF,0/2/15,19.717138,-98.970109,Poste,9,CANCELADA
1.5170381,TP579424,SAN_CRISTOBAL_DF,0/8/7,19.626543,-99.076394,Poste,8,CANCELADA
1.5215475,TP445436,SAN_PEDRO_ATZOMPA_DF,0/2/8,19.67703,-98.982802,Poste,6,CANCELADA
1.5300458,TP464956,SAN_CRISTOBAL_DF,0/1/7,19.630837,-99.070141,Poste,12,CANCELADA
1.5444283,TP415660,CHICONAUTLA_DF,0/6/7,19.632288,-99.020516,Poste,5,CANCELADA
1.5444374,TP445100,ESPUELAS_DF,0/2/15,19.675491,-99.0187,Poste,1,CANCELADA
1.5488717,TP651753,SAN_CRISTOBAL_DF,0/13/2,19.633237,-99.075393,Poste,11,CANCELADA
1.5595974,TP426721,CHICONAUTLA_DF,0/4/10,19.624777,-99.005972,Poste,1,CANCELADA
1.5620766,TP415857,CHICONAUTLA_DF,0/6/14,19.635787,-99.019734,Poste,5,CANCELADA
1.5639104,TP583396,HEROES_TECAMAC_DF,0/11/5,19.623638,-99.034609,Poste,4,CANCELADA
1.5891909,TP579896,COACALCO_DF,0/2/0,19.624563,-99.075734,Poste,3,CANCELADA
1.5937026,TP792564,SAN_CRISTOBAL_DF,0/2/0,19.62221,-99.073121,Poste,9,CANCELADA
1.5938647,TP652699,SAN_CRISTOBAL_DF,0/5/10,19.62681,-99.076255,Poste,9,CANCELADA
1.595461,TP792188,SAN_CRISTOBAL_DF,0/6/12,19.619562,-99.069109,Poste,5,CANCELADA
1.5954612,TP651495,SAN_CRISTOBAL_DF,0/1/1,19.620037,-99.067297,Poste,7,CANCELADA
1.5954617,TP652422,SAN_CRISTOBAL_DF,0/8/4,19.613213,-99.059922,Poste,15,CANCELADA
1.5967461,TP794920,SAN_CRISTOBAL_DF,0/2/2,19.618113,-99.081641,Poste,3,CANCELADA
5.33295.65.00.100056,TP651245,SAN_CRISTOBAL_DF,0/14/8,19.616708,-99.067451,Poste,1,CANCELADA
5.33295.65.00.100745,TP885081,EMBAJADA_DF,0/7/7,19.637812,-99.002403,Poste,1,CANCELADA
5.33295.65.100813,TP644831,SAN_PEDRO_ATZOMPA_DF,0/2/13,19.666788,-99.019016,Poste,3,CANCELADA
5.33295.65.101122,TP884272,SAN_PEDRO_ATZOMPA_DF,0/4/6,19.712588,-98.97239,Poste,14,CANCELADA
5.33299.30.100174,TP648975,HEROES_TECAMAC_DF,0/17/3,19.632913,-99.026672,Poste,6,CANCELADA
5.33299.30.100187,TP583464,CHICONAUTLA_DF,0/2/8,19.634712,-99.002174,Poste,3,CANCELADA
5.33299.33.00.100234,TP578599,SAN_CRISTOBAL_DF,0/1/0,19.622163,-99.071828,Poste,7,CANCELADA
5.33299.33.100345,TP579898,SAN_CRISTOBAL_DF,0/11/2,19.625587,-99.077328,Poste,3,CANCELADA
5.33299.33.100509,TP573852,SAN_CRISTOBAL_DF,0/11/3,19.623538,-99.074141,Poste,2,CANCELADA
5.33299.33.100565,TP647409,ESPUELAS_DF,0/3/13,19.658538,-99.005234,Poste,7,CANCELADA
5.33299.40.00040,TP444997,ESPUELAS_DF,0/3/9,19.668064,-99.004266,Poste,2,CANCELADA
5.33299.40.00042,TP644831,SAN_PEDRO_ATZOMPA_DF,0/2/13,19.666788,-99.019016,Poste,5,CANCELADA
5.33299.40.00183,TP532809,AZCATEPEC_DF,0/3/0,19.713137,-98.97436,Poste,14,CANCELADA
5.33299.40.00856,TP651246,SAN_CRISTOBAL_DF,0/14/8,19.613233,-99.069991,Poste,1,CANCELADA
